Date,Open,High,Low,Close,Volume,Market Cap
Aug-13-2020,387.153267693,428.23085466,379.030115274,425.516046717,19037714675.13064,44286596280.14016
Aug-12-2020,379.238879159,388.667323322,369.155865507,387.609860231,18936799773.849228,42743500619.499855
Aug-11-2020,395.616973679,398.038534302,370.8445619,379.113262194,16027343383.069344,43464783448.52701
Aug-10-2020,390.397002579,398.433670398,390.32904349,395.518236671,15748723556.50336,44257636303.19905
Aug-09-2020,395.627674262,399.124592156,385.121690673,389.395375694,14523340272.351046,43911342559.809364
Aug-08-2020,379.181745769,392.359942908,376.783560949,392.359942908,17856927606.742508,43220263682.34385
Aug-07-2020,395.108319772,397.847749038,367.787681268,379.444306217,16408768547.609228,43578110185.06243
Aug-06-2020,400.744039701,402.417277239,392.595556583,394.986153398,18247300097.68184,44449353714.314705
Aug-05-2020,389.64975326,404.874346724,385.717179004,400.576612484,17651056126.10829,44173389481.488594
Aug-04-2020,385.791775536,400.661188925,381.953239941,389.516060666,23516223052.890213,43816992661.75726
Aug-03-2020,371.891677828,397.365511036,369.006389368,386.637181777,25750777805.413082,43368125346.23832
Aug-02-2020,386.729885763,413.255029356,356.705043326,370.477146264,33878467864.251072,42423426174.51504
Aug-01-2020,346.278149273,391.263467154,343.880579834,386.654485124,19568367863.86502,40487397050.34286
Jul-31-2020,334.492591544,348.593267299,329.19580263,346.00670621,17719726515.883938,38057898521.63668
Jul-30-2020,316.694463857,339.176021619,313.99761681,334.319944496,13258573932.769266,36010074369.24999
Jul-29-2020,315.838200309,323.521408934,312.334066094,316.367864464,15560635407.901968,35746643054.45192
Jul-28-2020,321.131414566,325.001075936,306.953476612,315.643498887,21915536968.656826,35480594844.83927
Jul-27-2020,309.778459529,328.663112369,309.778459529,320.763709049,21951074701.575413,36005433156.85901
Jul-26-2020,304.435974242,316.648463833,300.088303572,309.379644636,19926080284.206684,34355262213.38248
Jul-25-2020,278.966709199,307.307235236,278.966709199,303.87840323,14332847880.980394,32188468307.239944
Jul-24-2020,275.171054268,286.033090575,269.009480168,279.113886085,13852769271.587757,30841252158.872177
Jul-23-2020,263.326907632,278.656790854,261.001776538,274.710130889,13303054454.401436,29901461716.94103
Jul-22-2020,245.366021012,264.762454414,242.250366937,262.929689668,7388905990.470613,27444243924.86857
Jul-21-2020,236.164648967,246.301797532,235.833278107,245.387860402,6690414255.424458,27019923340.116455
Jul-20-2020,238.746161144,239.258811155,234.986683042,236.235268522,5374214599.600117,26606411478.553474
Jul-19-2020,235.637857805,239.16032928,233.609688772,238.910017118,4348865425.38883,26271596776.132915
Jul-18-2020,232.735683797,236.413297388,232.548586111,235.672144182,4303371590.218035,26205592875.566116
Jul-17-2020,233.698934354,234.297969887,232.037605962,232.798653616,5206630776.510648,26070671972.61145
Jul-16-2020,238.629575741,239.082852703,230.687310308,233.809780972,5550009276.867542,26197654559.073605
Jul-15-2020,240.312292711,241.097627137,237.16986839,238.845592292,4398236329.799531,26735721114.390232
Jul-14-2020,239.774243681,241.842858411,237.529897912,240.363279077,5112761889.145238,26766273352.572063
Jul-13-2020,242.541549581,244.643910482,238.356041567,240.008287268,5193115977.344976,27054971351.774746
